"Hierarchy Level","Page Type","Page Sub Type","Content Type","Friendly URL","Page ID","Page Title","Full URL","Taxonomy Level 1","Taxonomy Level 2","Taxonomy Level 3","Taxonomy Level 4","Taxonomy Level 5","Taxonomy Level 6","Taxonomy URL Level 1","Taxonomy URL Level 2","Taxonomy URL Level 3","Taxonomy URL Level 4","Taxonomy URL Level 5","Taxonomy URL Level 6",Homepage?,"Toggle URL"
4,federal_directory_record,,federal_directory_record,/agencies/bureau-of-consular-affairs,1150,"Bureau of Consular Affairs",https://www.usa.gov/agencies/bureau-of-consular-affairs,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Bureau of Consular Affairs","Bureau of Consular Affairs","Bureau of Consular Affairs",/,/about-the-us,/agency-index,/agencies/bureau-of-consular-affairs,/agencies/bureau-of-consular-affairs,/agencies/bureau-of-consular-affairs,not_homepage,https://www.usa.gov/es/agencias/oficina-de-servicios-para-ciudadanos-en-el-exterior
4,federal_directory_record,,federal_directory_record,/agencies/u-s-central-command,1156,"U.S. Central Command (CENTCOM)",https://www.usa.gov/agencies/u-s-central-command,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","U.S. Central Command","U.S. Central Command","U.S. Central Command",/,/about-the-us,/agency-index,/agencies/u-s-central-command,/agencies/u-s-central-command,/agencies/u-s-central-command,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/national-nuclear-security-administration,1154,"National Nuclear Security Administration",https://www.usa.gov/agencies/national-nuclear-security-administration,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","National Nuclear Security Administration","National Nuclear Security Administration","National Nuclear Security Administration",/,/about-the-us,/agency-index,/agencies/national-nuclear-security-administration,/agencies/national-nuclear-security-administration,/agencies/national-nuclear-security-administration,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/pentagon-force-protection-agency,1162,"Pentagon Force Protection Agency",https://www.usa.gov/agencies/pentagon-force-protection-agency,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Pentagon Force Protection Agency","Pentagon Force Protection Agency","Pentagon Force Protection Agency",/,/about-the-us,/agency-index,/agencies/pentagon-force-protection-agency,/agencies/pentagon-force-protection-agency,/agencies/pentagon-force-protection-agency,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/defense-nuclear-facilities-safety-board,1157,"Defense Nuclear Facilities Safety Board",https://www.usa.gov/agencies/defense-nuclear-facilities-safety-board,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Defense Nuclear Facilities Safety Board","Defense Nuclear Facilities Safety Board","Defense Nuclear Facilities Safety Board",/,/about-the-us,/agency-index,/agencies/defense-nuclear-facilities-safety-board,/agencies/defense-nuclear-facilities-safety-board,/agencies/defense-nuclear-facilities-safety-board,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/farm-credit-administration,1165,"Farm Credit Administration",https://www.usa.gov/agencies/farm-credit-administration,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Farm Credit Administration","Farm Credit Administration","Farm Credit Administration",/,/about-the-us,/agency-index,/agencies/farm-credit-administration,/agencies/farm-credit-administration,/agencies/farm-credit-administration,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/chief-financial-officers-council,1164,"Chief Financial Officers Council",https://www.usa.gov/agencies/chief-financial-officers-council,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Chief Financial Officers Council","Chief Financial Officers Council","Chief Financial Officers Council",/,/about-the-us,/agency-index,/agencies/chief-financial-officers-council,/agencies/chief-financial-officers-council,/agencies/chief-financial-officers-council,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/transportation-security-administration,1168,"Transportation Security Administration (TSA)",https://www.usa.gov/agencies/transportation-security-administration,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Transportation Security Administration","Transportation Security Administration","Transportation Security Administration",/,/about-the-us,/agency-index,/agencies/transportation-security-administration,/agencies/transportation-security-administration,/agencies/transportation-security-administration,not_homepage,https://www.usa.gov/es/agencias/administracion-de-seguridad-en-el-transporte
4,federal_directory_record,,federal_directory_record,/agencies/chief-information-officers-council,1171,"Chief Information Officers Council",https://www.usa.gov/agencies/chief-information-officers-council,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Chief Information Officers Council","Chief Information Officers Council","Chief Information Officers Council",/,/about-the-us,/agency-index,/agencies/chief-information-officers-council,/agencies/chief-information-officers-council,/agencies/chief-information-officers-council,not_homepage,None
4,federal_directory_record,,federal_directory_record,/agencies/federal-energy-regulatory-commission,1172,"Federal Energy Regulatory Commission",https://www.usa.gov/agencies/federal-energy-regulatory-commission,"USAGov English","About the U.S. and its government","A-Z index of U.S. government departments and agencies","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission",/,/about-the-us,/agency-index,/agencies/federal-energy-regulatory-commission,/agencies/federal-energy-regulatory-commission,/agencies/federal-energy-regulatory-commission,not_homepage,None
