module_name,module_type,project_key,is_child_module,parent_module,child_detection_method,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,parent_enabled_runtime,safe_to_flag_for_deletion,module_info_path
responsive_image,core,responsive_image,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/responsive_image/responsive_image.info.yml
rest,core,rest,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/rest/rest.info.yml
s3fs,contrib,s3fs,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/s3fs/s3fs.info.yml
samlauth,contrib,samlauth,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/samlauth/samlauth.info.yml
samlauth_user_fields,contrib,samlauth,yes,samlauth,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/samlauth/modules/samlauth_user_fields/samlauth_user_fields.info.yml
samlauth_user_roles,contrib,samlauth,yes,samlauth,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/samlauth/modules/samlauth_user_roles/samlauth_user_roles.info.yml
scheduler,contrib,scheduler,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/scheduler/scheduler.info.yml
scheduler_content_moderation_integration,contrib,scheduler_content_moderation_integration,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/scheduler_content_moderation_integration/scheduler_content_moderation_integration.info.yml
scheduler_rules_integration,contrib,scheduler,yes,scheduler,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/scheduler/scheduler_rules_integration/scheduler_rules_integration.info.yml
sdc,core,sdc,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/sdc/sdc.info.yml
search,core,search,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/search/search.info.yml
serialization,core,serialization,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/serialization/serialization.info.yml
settings_tray,core,settings_tray,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/settings_tray/settings_tray.info.yml
shortcut,core,shortcut,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/shortcut/shortcut.info.yml
simple_sitemap,contrib,simple_sitemap,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/simple_sitemap/simple_sitemap.info.yml
simple_sitemap_engines,contrib,simple_sitemap,yes,simple_sitemap,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/simple_sitemap/modules/simple_sitemap_engines/simple_sitemap_engines.info.yml
simple_sitemap_views,contrib,simple_sitemap,yes,simple_sitemap,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/simple_sitemap/modules/simple_sitemap_views/simple_sitemap_views.info.yml
simplify_menu,contrib,simplify_menu,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/simplify_menu/simplify_menu.info.yml
simplify_menu_test,contrib,simplify_menu,yes,simplify_menu,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/simplify_menu/modules/simplify_menu_test/simplify_menu_test.info.yml
sortableviews,contrib,sortableviews,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/sortableviews/sortableviews.info.yml
sqlite,core,sqlite,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/sqlite/sqlite.info.yml
statistics,core,statistics,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/statistics/statistics.info.yml
structure_sync,contrib,structure_sync,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/structure_sync/structure_sync.info.yml
syslog,core,syslog,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/syslog/syslog.info.yml
system,core,system,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/system/system.info.yml
taxonomy,core,taxonomy,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/taxonomy/taxonomy.info.yml
telephone,core,telephone,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/telephone/telephone.info.yml
term_condition,contrib,term_condition,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/term_condition/term_condition.info.yml
testing_config_overrides_module,other,,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/profiles/testing_config_overrides/modules/testing_config_overrides_module/testing_config_overrides_module.info.yml
text,core,text,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/text/text.info.yml
token,contrib,token,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/token/token.info.yml
tome,contrib,tome,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/tome/tome.info.yml
tome_base,contrib,tome,yes,tome,path_under_canonical_project,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_base/tome_base.info.yml
tome_static,contrib,tome,yes,tome,path_under_canonical_project,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_static/tome_static.info.yml
tome_static_cron,contrib,tome,yes,tome,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_static/modules/tome_static_cron/tome_static_cron.info.yml
tome_static_super_cache,contrib,tome,yes,tome,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_static/modules/tome_static_super_cache/tome_static_super_cache.info.yml
tome_sync,contrib,tome,yes,tome,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_sync/tome_sync.info.yml
tome_sync_autoclean,contrib,tome,yes,tome,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/tome/modules/tome_sync/modules/tome_sync_autoclean/tome_sync_autoclean.info.yml
toolbar,core,toolbar,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/toolbar/toolbar.info.yml
tour,core,tour,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/tour/tour.info.yml
tracker,core,tracker,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/tracker/tracker.info.yml
twig_field_value,contrib,twig_field_value,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/twig_field_value/twig_field_value.info.yml
twig_tweak,contrib,twig_tweak,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/twig_tweak/twig_tweak.info.yml
update,core,update,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/update/update.info.yml
usa_admin_styles,custom,usa_admin_styles,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_admin_styles/usa_admin_styles.info.yml
usa_contact_center_api,custom,usa_contact_center_api,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_contact_center_api/usa_contact_center_api.info.yml
usa_content_moderation_notifications,custom,usa_content_moderation_notifications,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_content_moderation_notifications/usa_content_moderation_notifications.info.yml
usa_orphaned_entities,custom,usa_orphaned_entities,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_orphaned_entities/usa_orphaned_entities.info.yml
usa_translation,custom,usa_translation,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_translation/usa_translation.info.yml
usa_twig_vars,custom,usa_twig_vars,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usa_twig_vars/usa_twig_vars.info.yml
usa_workflow,custom,usa_workflow,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/modules/custom/usa_workflow/usa_workflow.info.yml
usagov_benefit_category_search,custom,usagov_benefit_category_search,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_benefit_category_search/usagov_benefit_category_search.info.yml
